sample_name,rep,column,row,forage_yield_kg_ha
LMP-104,1,4,1,4412.972085
LMP-105,1,5,1,5814.739689
LMP-106,1,6,1,4834.347532
LMP-107,1,7,1,5803.655549
LMP-108,1,8,1,4361.169755
LMP-109,1,9,1,5444.646098
LMP-110,1,10,1,5673.280678
LMP-111,1,11,1,6140.827224
LMP-112,1,12,1,6529.128057
LMP-113,1,13,1,4994.054697
LMP-114,1,14,1,4728.701826
LMP-115,1,15,1,4490.411452
LMP-116,1,16,1,3196.754564
LMP-117,1,17,1,5987.884436
LMP-118,1,18,1,7877.867746
LMP-119,1,19,1,7103.364376
LMP-120,1,20,1,8085.299456
LMP-121,1,1,2,5169.813283
LMP-122,1,2,2,6340.378198
LMP-123,1,3,2,6756.050367
LMP-124,1,4,2,5122.655123
LMP-125,1,5,2,4890.229885
LMP-126,1,6,2,2991.832721
LMP-127,1,7,2,2853.037767
LMP-128,1,8,2,4139.387232
LMP-129,1,9,2,3493.514151
LMP-130,1,10,2,4810.926332
LMP-131,1,11,2,5432.286724
LMP-132,1,12,2,5001.956072
LMP-133,1,13,2,4821.109123
LMP-134,1,14,2,6236.852979
LMP-135,1,15,2,4608.326866
LMP-136,1,16,2,4386.78648
LMP-137,1,17,2,4793.295019
LMP-138,1,18,2,7642.485575
LMP-139,1,19,2,6676.245211
LMP-140,1,20,2,5792.262175
LMP-141,1,1,3,4189.655172
LMP-142,1,2,3,8703.616439
LMP-143,1,3,3,7043.860741
LMP-144,1,4,3,4235.370541
LMP-145,1,5,3,4229.885057
LMP-146,1,6,3,4604.256466
LMP-147,1,7,3,1812.156985
LMP-148,1,8,3,6089.028213
LMP-150,1,10,3,4421.10993
LMP-151,1,11,3,5054.592
LMP-152,1,12,3,4022.197617
LMP-153,1,13,3,4739.065706
LMP-154,1,14,3,4146.923409
LMP-155,1,15,3,5029.852565
LMP-156,1,16,3,4659.990073
LMP-157,1,17,3,4591.235632
LMP-158,1,18,3,7442.381373
LMP-159,1,19,3,7617.610293
LMP-160,1,20,3,5516.01067
LMP-161,1,1,4,6652.49301
LMP-162,1,2,4,7052.084519
LMP-163,1,3,4,6358.484268
LMP-164,1,4,4,6590.038314
LMP-165,1,5,4,3637.881914
LMP-166,1,6,4,4403.411689
LMP-167,1,7,4,5045.22329
LMP-168,1,8,4,5333.000421
LMP-169,1,9,4,5514.079085
LMP-170,1,10,4,5143.678161
LMP-171,1,11,4,3742.857617
LMP-172,1,12,4,3594.729624
LMP-174,1,14,4,4741.512141
