ID,Entry #,Year,selection,Lat,Long,County,State,Planting,Cluster,Voucher,Weight (g),notes,germ_percent,lb_acre_to_g_ft2,seeding_rate_g_ft2(15lbs/acre),plot_sq_ft,g_per_plot,g_per_entry,g_per_entry_with_germ_rate,g_per_plot_with_germ_rate,remaining seed
ID 1002 Year 88,1002,88,0,37.41 N,96.46 W,BUTLER,KS,1,2,,702.5,,30,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,233.9876033,58.49690083,468.5123967
ID 1002 Year 89,1002,89,0,37.41 N,96.46 W,BUTLER,KS,1,2,,414,,28,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,250.7010035,62.67525089,163.2989965
ID 1003 Year 88,1003,88,0,37.19 N,96.39 W,COWLEY,KS,1,1,,553.8,,36,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,194.9896694,48.74741736,358.8103306
ID 1003 Year 89,1003,89,0,37.19 N,96.39 W,COWLEY,KS,1,1,,234.3,,30,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,233.9876033,58.49690083,0.3123966942
ID 1004 Year 88,1004,88,0,38.23 N,96.32 W,CHASE,KS,1,1,,477.9,,35,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,200.5608028,50.14020071,277.3391972
ID 1004 Year 89,1004,89,0,38.23 N,96.32 W,CHASE,KS,1,1,,396,,30,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,233.9876033,58.49690083,162.0123967
ID 1005 Year 88,1005,88,0,NA,,,KS,1,1,,552.7,,42,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,167.1340024,41.78350059,385.5659976
ID 1005 Year 89,1005,89,0,NA,,,KS,1,1,,634.9,,22,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,319.0740045,79.76850113,315.8259955
ID 1006 Year 88,1006,88,0,37.48 N,96.51 W,BUTLER,KS,1,1,,663.4,,32,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,219.3633781,54.84084452,444.0366219
ID 1006 Year NA,1006,NA,0,37.48 N,96.51 W,BUTLER,KS,1,1,,37.9,,#N/A,0.01039944904,0.1559917355,112.5,17.54907025,70.19628099,#N/A,#N/A,#N/A
