"","sample_id","mean","var","I_bar","SI_0","SI_0.1","SI_0.2","SI_0.3","SI_0.4","SI_0.5","SI_0.6","SI_0.7","SI_0.8","SI_0.9","SI_1"
"1","ID 1144 Year 90",6291.22166042015,5835700.43650359,6291.22166042015,6291.22166042015,6049.64971592941,5808.07777143868,5566.50582694794,5324.9338824572,5083.36193796647,4841.78999347573,4600.21804898499,4358.64610449425,4117.07416000352,3875.50221551278
"2","ID 1056 Year 89",5856.3592512242,2024040.64675432,5856.3592512242,5856.3592512242,5714.09046874701,5571.82168626982,5429.55290379262,5287.28412131543,5145.01533883823,5002.74655636104,4860.47777388384,4718.20899140665,4575.94020892946,4433.67142645226
"3","ID 1114 Year 90",5711.31378511788,2325760.39931036,5711.31378511788,5711.31378511788,5558.80934586084,5406.3049066038,5253.80046734676,5101.29602808973,4948.79158883269,4796.28714957565,4643.78271031861,4491.27827106157,4338.77383180454,4186.2693925475
"4","ID 1120 Year 90",5502.98207884364,400552.953026743,5502.98207884364,5502.98207884364,5439.69282596238,5376.40357308113,5313.11432019987,5249.82506731862,5186.53581443736,5123.24656155611,5059.95730867486,4996.6680557936,4933.37880291235,4870.08955003109
"5","ID 1046 Year 88",5379.50975908686,7162224.0206667,5379.50975908686,5379.50975908686,5111.88644133098,4844.26312357509,4576.63980581921,4309.01648806332,4041.39317030744,3773.76985255155,3506.14653479567,3238.52321703979,2970.8998992839,2703.27658152802
"6","ID 391 Year 90",5278.32777055002,1040465.74121235,5278.32777055002,5278.32777055002,5176.32454799248,5074.32132543493,4972.31810287739,4870.31488031985,4768.31165776231,4666.30843520476,4564.30521264722,4462.30199008968,4360.29876753214,4258.29554497459
"7","ID 1017 Year 88",5250.24375422827,4666377.76522193,5250.24375422827,5250.24375422827,5034.22575115394,4818.20774807962,4602.18974500529,4386.17174193097,4170.15373885664,3954.13573578231,3738.11773270799,3522.09972963366,3306.08172655934,3090.06372348501
"8","ID 1127 Year 90",5199.04691384211,654445.711255945,5199.04691384211,5199.04691384211,5118.14909488165,5037.25127592118,4956.35345696072,4875.45563800026,4794.5578190398,4713.66000007934,4632.76218111888,4551.86436215842,4470.96654319796,4390.0687242375
"9","ID 415 Year 89",5032.85894817329,429484.872231852,5032.85894817329,5032.85894817329,4967.32385282493,4901.78875747657,4836.25366212822,4770.71856677986,4705.1834714315,4639.64837608314,4574.11328073478,4508.57818538642,4443.04309003806,4377.5079946897
"10","ID 1109 Year 90",5023.32029398539,769576.224925255,5023.32029398539,5023.32029398539,4935.59480026064,4847.86930653588,4760.14381281112,4672.41831908636,4584.6928253616,4496.96733163685,4409.24183791209,4321.51634418733,4233.79085046257,4146.06535673781
"11","ID 1139 Year 90",5021.94640280396,1787877.65975956,5021.94640280396,5021.94640280396,4888.23486030446,4754.52331780496,4620.81177530546,4487.10023280596,4353.38869030646,4219.67714780696,4085.96560530746,3952.25406280796,3818.54252030846,3684.83097780896
"12","ID 103 Year 88",4990.90558330109,626106.519481492,4990.90558330109,4990.90558330109,4911.77869030753,4832.65179731396,4753.5249043204,4674.39801132684,4595.27111833327,4516.14422533971,4437.01733234614,4357.89043935258,4278.76354635902,4199.63665336545
"13","ID 291 Year 90",4952.74047845588,1912661.99719136,4952.74047845588,4952.74047845588,4814.4414546997,4676.14243094351,4537.84340718733,4399.54438343114,4261.24535967496,4122.94633591877,3984.64731216259,3846.34828840641,3708.04926465022,3569.75024089404
"14","ID 1097 Year 90",4911.31890156645,597337.679231496,4911.31890156645,4911.31890156645,4834.03127776862,4756.74365397079,4679.45603017296,4602.16840637513,4524.8807825773,4447.59315877947,4370.30553498164,4293.01791118381,4215.73028738598,4138.44266358815
"15","ID 1007 Year 90",4900.24625659281,792478.50808724,4900.24625659281,4900.24625659281,4811.22499463325,4722.20373267369,4633.18247071413,4544.16120875457,4455.13994679502,4366.11868483546,4277.0974228759,4188.07616091634,4099.05489895678,4010.03363699722
"16","ID 1124 Year 90",4875.49499436815,2539597.26128347,4875.49499436815,4875.49499436815,4716.13385540123,4556.77271643431,4397.41157746739,4238.05043850047,4078.68929953354,3919.32816056662,3759.9670215997,3600.60588263278,3441.24474366585,3281.88360469893
"17","ID 1136 Year 90",4872.73705088678,1829984.85073057,4872.73705088678,4872.73705088678,4737.46011823636,4602.18318558594,4466.90625293552,4331.62932028511,4196.35238763469,4061.07545498427,3925.79852233385,3790.52158968343,3655.24465703302,3519.9677243826
"18","ID 1015 Year 88",4869.66071423073,703298.870270571,4869.66071423073,4869.66071423073,4785.7977980955,4701.93488196026,4618.07196582503,4534.20904968979,4450.34613355455,4366.48321741932,4282.62030128408,4198.75738514884,4114.89446901361,4031.03155287837
"19","ID 379 Year 89",4801.27721430175,1577610.97029281,4801.27721430175,4801.27721430175,4675.67422985103,4550.07124540031,4424.46826094959,4298.86527649887,4173.26229204815,4047.65930759743,3922.0563231467,3796.45333869598,3670.85035424526,3545.24736979454
"20","ID 1014 Year 88",4754.07460463626,2688953.94541009,4754.07460463626,4754.07460463626,4590.09430260549,4426.11400057473,4262.13369854396,4098.1533965132,3934.17309448243,3770.19279245167,3606.2124904209,3442.23218839014,3278.25188635937,3114.27158432861
"21","ID 1129 Year 90",4741.28251316838,4576478.57422846,4741.28251316838,4741.28251316838,4527.35545610854,4313.4283990487,4099.50134198886,3885.57428492902,3671.64722786918,3457.72017080934,3243.79311374949,3029.86605668965,2815.93899962981,2602.01194256997
"22","ID 1067 Year 88",4705.33217147914,510057.481821081,4705.33217147914,4705.33217147914,4633.91386277465,4562.49555407015,4491.07724536565,4419.65893666115,4348.24062795666,4276.82231925216,4205.40401054766,4133.98570184317,4062.56739313867,3991.14908443417
"23","ID 1130 Year 90",4704.91220886793,643070.929150272,4704.91220886793,4704.91220886793,4624.72050548471,4544.52880210149,4464.33709871827,4384.14539533504,4303.95369195182,4223.7619885686,4143.57028518538,4063.37858180215,3983.18687841893,3902.99517503571
"24","ID 294 Year 90",4657.76417938193,2184871.37968999,4657.76417938193,4657.76417938193,4509.9510751019,4362.13797082187,4214.32486654183,4066.5117622618,3918.69865798177,3770.88555370173,3623.0724494217,3475.25934514167,3327.44624086163,3179.6331365816
"25","ID 1115 Year 90",4632.64162192723,2147140.4398437,4632.64162192723,4632.64162192723,4486.11038157748,4339.57914122772,4193.04790087797,4046.51666052822,3899.98542017847,3753.45417982871,3606.92293947896,3460.39169912921,3313.86045877946,3167.3292184297
"26","ID 1042 Year 89",4626.95070855712,1594868.67860407,4626.95070855712,4626.95070855712,4500.66259832484,4374.37448809256,4248.08637786028,4121.798267628,3995.51015739572,3869.22204716344,3742.93393693116,3616.64582669888,3490.3577164666,3364.06960623431
"27","ID 1118 Year 90",4621.93770524238,232520.98454991,4621.93770524238,4621.93770524238,4573.71727549005,4525.49684573772,4477.27641598539,4429.05598623307,4380.83555648074,4332.61512672841,4284.39469697609,4236.17426722376,4187.95383747143,4139.73340771911
"28","ID 1099 Year 90",4597.95695157213,2108086.40603706,4597.95695157213,4597.95695157213,4452.76444467053,4307.57193776893,4162.37943086733,4017.18692396574,3871.99441706414,3726.80191016254,3581.60940326094,3436.41689635934,3291.22438945775,3146.03188255615
"29","ID 1119 Year 90",4493.97102496434,1160639.94982594,4493.97102496434,4493.97102496434,4386.23802399314,4278.50502302195,4170.77202205076,4063.03902107956,3955.30602010837,3847.57301913717,3739.84001816598,3632.10701719478,3524.37401622359,3416.64101525239
"30","ID 1075 Year 88",4483.26118707272,105516.23832899,4483.26118707272,4483.26118707272,4450.77792394708,4418.29466082143,4385.81139769579,4353.32813457014,4320.8448714445,4288.36160831885,4255.87834519321,4223.39508206756,4190.91181894192,4158.42855581627
"31","ID 1076 Year 88",4447.52574486512,1321344.37428036,4447.52574486512,4447.52574486512,4332.5760004426,4217.62625602007,4102.67651159755,3987.72676717502,3872.7770227525,3757.82727832998,3642.87753390745,3527.92778948493,3412.9780450624,3298.02830063988
"32","ID 360 Year 90",4437.94326630156,954094.149626235,4437.94326630156,4437.94326630156,4340.2655232059,4242.58778011023,4144.91003701457,4047.23229391891,3949.55455082324,3851.87680772758,3754.19906463192,3656.52132153626,3558.84357844059,3461.16583534493
"33","ID 1123 Year 90",4437.05297964714,446538.940725363,4437.05297964714,4437.05297964714,4370.22941039756,4303.40584114798,4236.58227189839,4169.75870264881,4102.93513339923,4036.11156414965,3969.28799490007,3902.46442565049,3835.6408564009,3768.81728715132
"34","ID 275 Year 88",4425.82995155714,549032.212161355,4425.82995155714,4425.82995155714,4351.73324365717,4277.63653575719,4203.53982785722,4129.44311995725,4055.34641205728,3981.24970415731,3907.15299625734,3833.05628835737,3758.9595804574,3684.86287255743
"35","ID 282 Year 90",4362.19718482907,3276250.60029381,4362.19718482907,4362.19718482907,4181.19302464777,4000.18886446647,3819.18470428517,3638.18054410387,3457.17638392257,3276.17222374127,3095.16806355997,2914.16390337867,2733.15974319736,2552.15558301606
"36","ID 1064 Year 89",4351.66018584441,2543242.47933957,4351.66018584441,4351.66018584441,4192.18471815926,4032.70925047412,3873.23378278897,3713.75831510383,3554.28284741868,3394.80737973354,3235.33191204839,3075.85644436325,2916.3809766781,2756.90550899296
"37","ID 1031 Year 90",4308.96314523043,199870.483628825,4308.96314523043,4308.96314523043,4264.25626839601,4219.54939156159,4174.84251472717,4130.13563789274,4085.42876105832,4040.7218842239,3996.01500738947,3951.30813055505,3906.60125372063,3861.89437688621
"38","ID 1107 Year 90",4308.48495441377,425356.989765551,4308.48495441377,4308.48495441377,4243.26555624378,4178.04615807379,4112.8267599038,4047.60736173381,3982.38796356383,3917.16856539384,3851.94916722385,3786.72976905386,3721.51037088387,3656.29097271388
"39","ID 1117 Year 90",4273.30901954746,4053454.20210166,4273.30901954746,4273.30901954746,4071.9770995223,3870.64517949714,3669.31325947199,3467.98133944683,3266.64941942167,3065.31749939651,2863.98557937135,2662.6536593462,2461.32173932104,2259.98981929588
"40","ID 1126 Year 90",4266.3673896159,479551.602926428,4266.3673896159,4266.3673896159,4197.11772514549,4127.86806067509,4058.61839620468,3989.36873173427,3920.11906726386,3850.86940279345,3781.61973832304,3712.37007385263,3643.12040938222,3573.87074491181
"41","ID 1100 Year 90",4230.86415953054,547166.850044792,4230.86415953054,4230.86415953054,4156.8934322092,4082.92270488786,4008.95197756652,3934.98125024518,3861.01052292385,3787.03979560251,3713.06906828117,3639.09834095983,3565.12761363849,3491.15688631715
"42","ID 1040 Year 90",4187.38025648943,505128.604250493,4187.38025648943,4187.38025648943,4116.30785648419,4045.23545647895,3974.16305647371,3903.09065646847,3832.01825646323,3760.94585645799,3689.87345645275,3618.80105644751,3547.72865644227,3476.65625643703
"43","ID 1108 Year 90",4186.95420008379,803187.928031964,4186.95420008379,4186.95420008379,4097.33344757457,4007.71269506535,3918.09194255612,3828.4711900469,3738.85043753767,3649.22968502845,3559.60893251922,3469.98818001,3380.36742750077,3290.74667499155
"44","ID 413 Year 90",4173.79134771372,1312905.58457523,4173.79134771372,4173.79134771372,4059.20925554504,3944.62716337636,3830.04507120768,3715.462979039,3600.88088687031,3486.29879470163,3371.71670253295,3257.13461036427,3142.55251819559,3027.97042602691
"45","ID 1081 Year 90",4159.26011909323,426087.591750998,4159.26011909323,4159.26011909323,4093.98473385875,4028.70934862427,3963.43396338979,3898.1585781553,3832.88319292082,3767.60780768634,3702.33242245186,3637.05703721738,3571.7816519829,3506.50626674842
