"","sample_id","mean","median","var","sd","cv","I_bar","SI_0","rank_0","SI_0.1","rank_0.1","SI_0.2","rank_0.2","SI_0.3","rank_0.3","SI_0.4","rank_0.4","SI_0.5","rank_0.5","SI_0.6","rank_0.6","SI_0.7","rank_0.7","SI_0.8","rank_0.8","SI_0.9","rank_0.9","SI_1","rank_1"
"1","ID 1144 Year 90",6291.22166042015,6486.1732043694,5835700.43650359,2415.71944490737,0.38398256734544,6291.22166042015,6291.22166042015,1,6049.64971592941,1,5808.07777143868,1,5566.50582694794,1,5324.9338824572,1,5083.36193796647,3,4841.78999347573,3,4600.21804898499,5,4358.64610449425,7,4117.07416000352,12,3875.50221551278,16
"2","ID 1056 Year 89",5856.3592512242,5456.9152599812,2024040.64675432,1422.68782477194,0.242930422083404,5856.3592512242,5856.3592512242,2,5714.09046874701,2,5571.82168626982,2,5429.55290379262,2,5287.28412131543,2,5145.01533883823,2,5002.74655636104,2,4860.47777388384,2,4718.20899140665,2,4575.94020892946,2,4433.67142645226,2
"3","ID 1114 Year 90",5711.31378511788,5884.04912114381,2325760.39931036,1525.04439257038,0.26702164334662,5711.31378511788,5711.31378511788,3,5558.80934586084,3,5406.3049066038,3,5253.80046734676,4,5101.29602808973,4,4948.79158883269,4,4796.28714957565,4,4643.78271031861,3,4491.27827106157,5,4338.77383180454,6,4186.2693925475,7
"4","ID 1120 Year 90",5502.98207884364,5583.66474370577,400552.953026743,632.892528812549,0.115009011431406,5502.98207884364,5502.98207884364,4,5439.69282596238,4,5376.40357308113,4,5313.11432019987,3,5249.82506731862,3,5186.53581443736,1,5123.24656155611,1,5059.95730867486,1,4996.6680557936,1,4933.37880291235,1,4870.08955003109,1
"5","ID 1046 Year 88",5379.50975908686,4406.13634034427,7162224.0206667,2676.23317755884,0.497486443451144,5379.50975908686,5379.50975908686,5,5111.88644133098,7,4844.26312357509,9,4576.63980581921,15,4309.01648806332,21,4041.39317030744,26,3773.76985255155,35,3506.14653479567,45,3238.52321703979,50,2970.8998992839,58,2703.27658152802,64
"6","ID 391 Year 90",5278.32777055002,5393.58164973629,1040465.74121235,1020.03222557542,0.193249125464812,5278.32777055002,5278.32777055002,6,5176.32454799248,5,5074.32132543493,5,4972.31810287739,5,4870.31488031985,6,4768.31165776231,6,4666.30843520476,6,4564.30521264722,7,4462.30199008968,6,4360.29876753214,5,4258.29554497459,5
"7","ID 1017 Year 88",5250.24375422827,4742.09587728869,4666377.76522193,2160.18003074326,0.411443759921349,5250.24375422827,5250.24375422827,7,5034.22575115394,8,4818.20774807962,11,4602.18974500529,14,4386.17174193097,17,4170.15373885664,21,3954.13573578231,24,3738.11773270799,33,3522.09972963366,38,3306.08172655934,45,3090.06372348501,48
"8","ID 1127 Year 90",5199.04691384211,5201.18927135908,654445.711255945,808.978189604605,0.155601248269323,5199.04691384211,5199.04691384211,8,5118.14909488165,6,5037.25127592118,6,4956.35345696072,6,4875.45563800026,5,4794.5578190398,5,4713.66000007934,5,4632.76218111888,4,4551.86436215842,3,4470.96654319796,3,4390.0687242375,3
"9","ID 415 Year 89",5032.85894817329,5278.6414903999,429484.872231852,655.350953483591,0.130214448732257,5032.85894817329,5032.85894817329,9,4967.32385282493,9,4901.78875747657,7,4836.25366212822,7,4770.71856677986,7,4705.1834714315,7,4639.64837608314,7,4574.11328073478,6,4508.57818538642,4,4443.04309003806,4,4377.5079946897,4
"10","ID 1109 Year 90",5023.32029398539,4776.43243794457,769576.224925255,877.25493724758,0.174636472672855,5023.32029398539,5023.32029398539,10,4935.59480026064,10,4847.86930653588,8,4760.14381281112,8,4672.41831908636,9,4584.6928253616,9,4496.96733163685,9,4409.24183791209,9,4321.51634418733,9,4233.79085046257,8,4146.06535673781,9
"11","ID 1139 Year 90",5021.94640280396,4790.32863912784,1787877.65975956,1337.115424995,0.266254419650603,5021.94640280396,5021.94640280396,11,4888.23486030446,12,4754.52331780496,13,4620.81177530546,12,4487.10023280596,13,4353.38869030646,14,4219.67714780696,17,4085.96560530746,17,3952.25406280796,17,3818.54252030846,19,3684.83097780896,20
"12","ID 103 Year 88",4990.90558330109,4769.15426229215,626106.519481492,791.26892993564,0.158542155672734,4990.90558330109,4990.90558330109,12,4911.77869030753,11,4832.65179731396,10,4753.5249043204,9,4674.39801132684,8,4595.27111833327,8,4516.14422533971,8,4437.01733234614,8,4357.89043935258,8,4278.76354635902,7,4199.63665336545,6
"13","ID 291 Year 90",4952.74047845588,4454.83707241167,1912661.99719136,1382.99023756184,0.279237372436082,4952.74047845588,4952.74047845588,13,4814.4414546997,14,4676.14243094351,16,4537.84340718733,16,4399.54438343114,16,4261.24535967496,18,4122.94633591877,18,3984.64731216259,19,3846.34828840641,20,3708.04926465022,24,3569.75024089404,26
"14","ID 1097 Year 90",4911.31890156645,5108.77474098763,597337.679231496,772.876237978304,0.157366331421036,4911.31890156645,4911.31890156645,14,4834.03127776862,13,4756.74365397079,12,4679.45603017296,10,4602.16840637513,10,4524.8807825773,10,4447.59315877947,10,4370.30553498164,10,4293.01791118381,10,4215.73028738598,9,4138.44266358815,11
"15","ID 1007 Year 90",4900.24625659281,5145.38837547354,792478.50808724,890.212619595589,0.181666914881654,4900.24625659281,4900.24625659281,15,4811.22499463325,15,4722.20373267369,14,4633.18247071413,11,4544.16120875457,11,4455.13994679502,11,4366.11868483546,12,4277.0974228759,13,4188.07616091634,14,4099.05489895678,14,4010.03363699722,13
"16","ID 1124 Year 90",4875.49499436815,5578.45416594099,2539597.26128347,1593.61138966922,0.326861455403001,4875.49499436815,4875.49499436815,16,4716.13385540123,18,4556.77271643431,19,4397.41157746739,22,4238.05043850047,23,4078.68929953354,24,3919.32816056662,25,3759.9670215997,28,3600.60588263278,35,3441.24474366585,37,3281.88360469893,41
"17","ID 1136 Year 90",4872.73705088678,4605.82044558227,1829984.85073057,1352.76932650418,0.27762001363443,4872.73705088678,4872.73705088678,17,4737.46011823636,17,4602.18318558594,17,4466.90625293552,19,4331.62932028511,20,4196.35238763469,19,4061.07545498427,19,3925.79852233385,21,3790.52158968343,23,3655.24465703302,27,3519.9677243826,28
